,Optimal-alpha,No-FT,std-no-ft,LoRA,std-LoRA,Optimal,std_optimal
"('book', 'elec')",4.55,65.97,1.14,74.79,0.55,77.86,0.05
"('kitchen', 'dvd')",4.15,61.5,0.38,71.46,0.37,74.56,0.04
"('book', 'kitchen')",5.31,66.56,0.83,76.85,0.41,79.89,0.15
"('kitchen', 'elec')",5.77,65.97,1.14,78.63,0.32,82.37,0.08
"('dvd', 'elec')",4.59,65.97,1.14,75.0,0.44,78.28,0.05
"('elec', 'book')",3.9,61.2,0.16,70.4,0.2,73.54,0.21
"('elec', 'dvd')",3.95,61.5,0.38,70.84,0.32,73.74,0.11
"('dvd', 'kitchen')",5.19,66.56,0.83,76.95,0.39,80.24,0.11
"('book', 'dvd')",7.12,61.5,0.38,73.64,0.38,78.33,0.05
"('kitchen', 'book')",4.2,61.2,0.16,71.1,0.23,74.97,0.11
"('dvd', 'book')",7.06,61.2,0.16,73.27,0.15,79.05,0.12
"('elec', 'kitchen')",5.97,66.56,0.83,80.26,0.31,84.26,0.05
