,Optimal-alpha,No-FT,std-no-ft,LoRA,std-LoRA,Optimal,std_optimal
"('elec', 'book')",1.78,62.53,0.46,70.87,0.17,72.43,0.21
"('book', 'elec')",1.77,67.9,0.74,75.44,0.05,76.61,0.21
"('book', 'dvd')",2.55,63.56,0.11,74.27,0.21,76.84,0.16
"('elec', 'dvd')",1.79,63.56,0.11,71.42,0.17,72.81,0.21
"('dvd', 'kitchen')",1.97,68.38,1.01,77.13,0.31,78.22,0.69
"('elec', 'kitchen')",2.32,68.38,1.01,80.46,0.11,82.58,0.09
"('kitchen', 'elec')",2.36,67.9,0.74,78.89,0.16,81.42,0.19
"('kitchen', 'book')",1.95,62.53,0.46,71.52,0.21,73.46,0.26
"('kitchen', 'dvd')",1.93,63.56,0.11,71.99,0.08,73.56,0.08
"('dvd', 'elec')",1.79,67.9,0.74,75.46,0.21,76.35,0.43
"('dvd', 'book')",2.55,62.53,0.46,73.66,0.03,76.78,0.08
"('book', 'kitchen')",1.99,68.38,1.01,77.17,0.1,78.42,0.34
