,Optimal-alpha,No-FT,std-no-ft,Optimal,std_optimal
"('dvd', 'book')",1.8,64.04,0.41,77.08,0.12
"('elec', 'kitchen')",1.7,70.64,0.6,82.83,0.11
"('book', 'elec')",1.04,70.08,0.33,76.8,0.05
"('dvd', 'elec')",1.05,70.08,0.33,76.92,0.35
"('elec', 'dvd')",1.34,65.6,0.25,73.35,0.08
"('kitchen', 'dvd')",1.47,65.6,0.25,74.09,0.01
"('book', 'kitchen')",1.08,70.64,0.6,78.85,0.45
"('dvd', 'kitchen')",1.08,70.64,0.6,78.49,0.72
"('book', 'dvd')",1.78,65.6,0.25,77.02,0.05
"('elec', 'book')",1.34,64.04,0.41,73.12,0.13
"('kitchen', 'book')",1.49,64.04,0.41,74.09,0.07
"('kitchen', 'elec')",1.81,70.08,0.33,81.53,0.14
