Step,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Alpha
0,0.884,55.66,0.9778,36.16,1.0
20,0.6425,69.26,0.6383,49.77,0.9985539317131042
40,0.5085,77.16,0.4411,57.79,0.9964995384216309
60,0.4393,80.72,0.3354,61.6,0.994332492351532
80,0.4009,82.52,0.2753,63.53,0.9923157691955566
100,0.3763,83.65,0.2423,64.48,0.9902859926223755
120,0.3574,84.43,0.2173,65.26,0.988211452960968
140,0.3428,85.01,0.1994,65.78,0.9864019155502319
160,0.3301,85.49,0.19,66.05,0.9845789670944214
180,0.3181,85.96,0.1807,66.3,0.9826124906539917
200,0.3074,86.45,0.1736,66.53,0.9806775450706482
220,0.2974,86.88,0.1685,66.7,0.9787545800209045
240,0.2885,87.22,0.1634,66.83,0.9770138263702393
260,0.2807,87.55,0.1599,66.93,0.975515604019165
280,0.273,87.98,0.1577,66.99,0.9738333821296692
300,0.2655,88.32,0.1548,67.04,0.9719225168228149
320,0.2585,88.62,0.1518,67.11,0.9701001644134521
340,0.2518,88.98,0.1487,67.24,0.9682237505912781
360,0.2458,89.3,0.1465,67.31,0.9664216041564941
380,0.2403,89.6,0.1415,67.45,0.964752197265625
400,0.235,89.86,0.1376,67.56,0.9631789922714233
420,0.23,90.12,0.1358,67.63,0.9616482853889465
440,0.2252,90.35,0.1339,67.66,0.960205614566803
460,0.2204,90.57,0.1288,67.8,0.9585087299346924
480,0.2159,90.86,0.126,67.88,0.956767201423645
500,0.2119,91.11,0.1234,67.93,0.955239474773407
520,0.2079,91.31,0.1217,67.97,0.9536819458007812
540,0.2045,91.4,0.1184,68.08,0.9521676301956177
560,0.2007,91.65,0.1168,68.11,0.9506077766418457
580,0.1969,91.86,0.1159,68.15,0.9489760994911194
600,0.1933,92.04,0.1137,68.19,0.9473012089729309
620,0.19,92.15,0.1111,68.29,0.9456642270088196
640,0.1871,92.3,0.1087,68.37,0.9442545175552368
660,0.1842,92.45,0.1059,68.46,0.942764937877655
680,0.1812,92.6,0.1074,68.42,0.941340982913971
700,0.1784,92.76,0.1075,68.41,0.9398276805877686
720,0.1758,92.86,0.108,68.38,0.9383628368377686
740,0.1732,93.0,0.1065,68.44,0.9369117617607117
760,0.1705,93.14,0.1048,68.52,0.9354087710380554
780,0.168,93.25,0.1032,68.54,0.9339829087257385
800,0.1657,93.35,0.1007,68.62,0.9326253533363342
820,0.1635,93.47,0.0975,68.75,0.9312490820884705
840,0.1614,93.54,0.0947,68.83,0.9298821091651917
860,0.1593,93.64,0.0961,68.78,0.9285740256309509
880,0.1572,93.73,0.0952,68.82,0.9271288514137268
900,0.1551,93.85,0.0938,68.87,0.9255954027175903
920,0.1531,93.96,0.0911,68.97,0.9241355657577515
940,0.1512,94.04,0.0904,68.98,0.9226300120353699
960,0.1493,94.1,0.0896,68.99,0.9211810827255249
980,0.1475,94.18,0.0879,69.04,0.919769823551178
