,Optimal-alpha,No-FT,std-no-ft,LoRA,std-LoRA,Optimal,std_optimal
"('energy', 'wine')",0.1869156083938196,0.9805488687026834,0.007976037960456244,2.95945477630762,0.08889662590152778,1.0443063257537046,0.011232685741003046
"('energy', 'california')",0.013330588157235278,0.9793910397489097,0.013027642723277638,3.0153483541057837,0.037310058323510684,0.9788339111541339,0.012364091736395535
"('energy', 'diabetes')",-0.4694059147634536,0.9059194963938632,0.022821581548432245,3.4903950899976395,0.44591874447201246,1.3707074961252526,0.21426606912645288
"('wine', 'energy')",2.521507609893293,1.1429226326544384,0.013288807408103303,0.9608069524814069,0.022970467557210203,1.692057155145685,0.03504604292161294
"('wine', 'california')",-0.4323005821188673,0.9793910397489097,0.013027642723277638,1.332822623074662,0.012998866805491619,0.9784932780673946,0.015540331440465615
"('wine', 'diabetes')",-1.3389349947222962,0.9059194963938632,0.022821581548432245,1.3471994402589778,0.032336828014174104,1.1900980351674793,0.11102751542012633
"('california', 'energy')",0.03628300064990568,1.1429226326544384,0.013288807408103303,1.2758297755519095,0.029688957578852627,1.1416747238584606,0.01254974788137264
"('california', 'wine')",-0.3422560958095802,0.9805488687026834,0.007976037960456244,1.299173820222345,0.02499209285408389,0.9643794832890059,0.010831286758026207
"('california', 'diabetes')",-0.40831379363249176,0.9059194963938632,0.022821581548432245,1.3229121171778602,0.015374503393194626,0.8392561140462926,0.026665526744852192
"('diabetes', 'energy')",-1.749030989992627,1.1429226326544384,0.013288807408103303,2.562335253864805,0.039090189223441284,2.0986008923043005,0.05677856305862856
"('diabetes', 'wine')",-0.3767168420974862,0.9805488687026834,0.007976037960456244,1.9850457944319382,0.0680530372687601,1.0538618220250282,0.007260602522096096
"('diabetes', 'california')",-0.14420855572287314,0.9793910397489097,0.013027642723277638,1.8937704079324746,0.03278102689137301,0.9687491462549169,0.007603565051802894
