,Optimal-alpha,No-FT,std-no-ft,LoRA,std-LoRA,Optimal,std_optimal
"('energy', 'wine')",0.06371984445111893,1.3861792793379735,0.016693133208860306,1.8586886571363725,0.03656208399718264,1.3851348965914578,0.017649212524679655
"('energy', 'california')",0.1118675501496841,1.3796378538268812,0.0025687469899475027,1.8033717050298694,0.013611535424680276,1.3754697216899274,0.0031032844202048973
"('energy', 'diabetes')",-0.3639621979578189,1.3763278021165906,0.04879540767824194,2.136186393568481,0.007651199102190861,1.2914606177469647,0.03927105549285271
"('wine', 'energy')",0.7957835738423635,1.6905662213688524,0.051458113882727904,1.6797111320097347,0.05500952770487228,1.672045668127663,0.04439559742042934
"('wine', 'california')",-0.6114614569525918,1.3796378538268812,0.0025687469899475027,1.5093142084906646,0.004052668755217297,1.3550256899907502,0.004429621745313044
"('wine', 'diabetes')",-0.4631876626623901,1.3763278021165906,0.04879540767824194,1.4741431463224623,0.06287211247262152,1.3684017096327448,0.040646286512072284
"('california', 'energy')",0.0317979721567664,1.6905662213688524,0.051458113882727904,1.7831098042832252,0.11337251898071922,1.6895093865466466,0.05315459564963867
"('california', 'wine')",-0.2266510338378534,1.3861792793379735,0.016693133208860306,1.6257020978023207,0.02292605190799549,1.3806724293770598,0.018778336247487898
"('california', 'diabetes')",-0.3572843546723077,1.3763278021165906,0.04879540767824194,1.7006207463734608,0.057467490204620345,1.3431849168209886,0.047914343240573795
"('diabetes', 'energy')",-1.1525394371954978,1.6905662213688524,0.051458113882727904,2.1206112861026685,0.04126872090448351,1.465176782567152,0.08392911688455666
"('diabetes', 'wine')",-0.24868092907845227,1.3861792793379735,0.016693133208860306,1.5948053181038864,0.01588318633577076,1.3808436381436595,0.016620278792043773
"('diabetes', 'california')",-0.44555055591672604,1.3796378538268812,0.0025687469899475027,1.6585505206578068,0.01315889827954087,1.343070567724702,0.0018609832633232574
