Step,Train Loss,Train Accuracy,Test Loss,Test Accuracy
0,0.7249,48.48,0.722,48.93
20,0.6395,63.89,0.6388,63.93
40,0.6044,67.7,0.6043,67.86
60,0.5832,69.9,0.5845,69.76
80,0.5621,71.87,0.5652,71.64
100,0.5509,73.14,0.5544,72.54
120,0.5373,74.16,0.5428,73.47
140,0.5292,74.35,0.5351,73.81
160,0.5176,75.46,0.5234,74.73
180,0.5103,75.76,0.5166,75.12
200,0.5058,76.1,0.5124,75.31
220,0.4973,77.18,0.5032,76.43
240,0.4958,77.08,0.5026,76.31
260,0.4973,76.72,0.5046,75.65
280,0.4907,76.68,0.4992,75.94
300,0.4795,78.1,0.4888,76.88
320,0.4839,77.49,0.4924,76.42
340,0.4727,78.61,0.4832,77.51
360,0.4801,77.63,0.4902,76.51
380,0.4668,78.98,0.4788,77.74
400,0.4697,78.0,0.4826,77.06
420,0.4669,78.92,0.4784,77.59
440,0.4593,79.33,0.4726,77.8
460,0.4568,79.61,0.469,78.26
480,0.4597,78.88,0.4726,77.56
500,0.4705,77.45,0.4848,76.29
520,0.4566,79.44,0.4705,77.93
540,0.4521,79.7,0.4659,78.33
560,0.4518,79.33,0.4674,77.84
580,0.4451,79.93,0.4592,78.71
600,0.4445,80.18,0.4586,78.9
620,0.4677,77.65,0.4836,76.26
640,0.4414,80.06,0.4576,78.8
660,0.4809,76.09,0.4974,75.47
680,0.4398,80.28,0.4564,78.62
700,0.4405,79.99,0.4573,78.51
720,0.4357,80.48,0.4527,79.14
740,0.4371,80.17,0.4546,78.75
760,0.4345,80.49,0.452,78.98
780,0.4326,80.93,0.4496,79.2
800,0.434,80.61,0.4517,78.96
820,0.4302,80.98,0.4491,79.22
840,0.4339,80.5,0.4542,78.65
860,0.4394,79.97,0.4595,78.12
880,0.4371,80.12,0.4575,78.39
900,0.4271,81.14,0.4478,79.27
920,0.4268,80.93,0.4463,79.37
940,0.4265,80.96,0.447,79.26
960,0.4359,80.06,0.456,78.42
980,0.4391,79.62,0.4605,78.01
1000,0.4256,80.98,0.4478,79.2
1020,0.4381,79.94,0.4593,78.01
1040,0.4324,80.29,0.4552,78.64
1060,0.4235,81.03,0.4454,79.4
1080,0.4221,81.16,0.4442,79.52
1100,0.4213,81.26,0.4434,79.5
1120,0.4227,80.98,0.4453,79.2
1140,0.4191,81.35,0.442,79.58
1160,0.4192,81.3,0.4432,79.48
1180,0.4195,81.29,0.4445,79.3
1200,0.4189,81.39,0.4442,79.23
1220,0.4186,81.42,0.4433,79.27
1240,0.4182,81.3,0.4425,79.4
1260,0.4191,81.01,0.4439,79.31
1280,0.4165,81.32,0.4422,79.56
1300,0.4186,81.33,0.4431,79.38
1320,0.422,80.96,0.4463,78.97
1340,0.4148,81.52,0.4407,79.59
1360,0.4216,80.89,0.4477,79.12
1380,0.4291,80.17,0.4562,78.52
1400,0.4122,81.52,0.4384,79.64
1420,0.4135,81.48,0.4396,79.48
1440,0.4648,77.36,0.4902,75.52
1460,0.412,81.59,0.4379,79.68
1480,0.4141,81.23,0.4403,79.6
1500,0.413,81.23,0.4396,79.64
1520,0.4169,81.03,0.4435,79.45
1540,0.4148,81.26,0.4418,79.52
1560,0.4187,81.26,0.4466,78.83
1580,0.4154,81.4,0.4442,79.1
1600,0.4193,81.26,0.4468,79.01
1620,0.4111,81.67,0.4375,79.63
1640,0.4112,81.65,0.4383,79.55
1660,0.4143,81.44,0.4426,79.16
1680,0.4082,81.88,0.4376,79.6
1700,0.4131,81.48,0.4419,79.35
1720,0.4094,81.7,0.4386,79.68
1740,0.4099,81.5,0.4389,79.62
1760,0.4229,80.68,0.4522,78.47
1780,0.4071,81.82,0.4377,79.74
1800,0.4084,81.8,0.4391,79.6
1820,0.4065,81.94,0.4373,79.74
1840,0.4081,81.74,0.4391,79.55
1860,0.407,81.76,0.4376,79.76
1880,0.4085,81.7,0.4382,79.47
1900,0.4068,81.76,0.4376,79.68
1920,0.411,81.42,0.443,79.13
1940,0.4058,81.78,0.4375,79.7
1960,0.4215,80.86,0.4529,78.44
1980,0.4117,81.36,0.4434,79.38
