Step,Train Loss,Train Accuracy,Test Loss,Test Accuracy
0,0.7465,48.26,0.7464,48.58
20,0.6464,63.22,0.6503,62.28
40,0.6227,64.54,0.6271,64.56
60,0.6007,67.62,0.6054,66.52
80,0.574,71.09,0.5788,70.02
100,0.5529,73.02,0.5582,72.21
120,0.5447,73.36,0.5503,72.5
140,0.5327,74.57,0.54,73.55
160,0.5224,75.32,0.5299,74.34
180,0.5144,75.66,0.5223,74.74
200,0.505,76.68,0.5143,75.57
220,0.4981,77.26,0.5076,76.11
240,0.4943,77.09,0.5039,75.98
260,0.4901,77.3,0.4999,76.2
280,0.485,78.04,0.4932,76.73
300,0.4799,77.97,0.4892,76.82
320,0.4743,78.45,0.4846,77.22
340,0.4722,78.46,0.4828,77.34
360,0.4685,78.58,0.4805,77.34
380,0.4642,79.16,0.4766,77.66
400,0.4607,79.26,0.4737,77.81
420,0.4596,79.21,0.4725,77.89
440,0.4714,77.98,0.4845,76.55
460,0.4542,79.68,0.467,78.5
480,0.4517,79.89,0.466,78.29
500,0.4489,80.05,0.4625,78.58
520,0.4478,79.91,0.4616,78.55
540,0.4466,79.78,0.4606,78.42
560,0.4547,78.92,0.4696,77.56
580,0.444,79.92,0.4593,78.41
600,0.4468,79.6,0.4629,78.1
620,0.439,80.33,0.4556,78.88
640,0.4429,79.94,0.4596,78.59
660,0.4371,80.28,0.4542,78.9
680,0.4366,80.33,0.453,78.97
700,0.4579,78.28,0.4755,76.8
720,0.4346,80.28,0.4521,78.86
740,0.4429,79.31,0.4619,78.08
760,0.4301,80.82,0.4492,79.24
780,0.4386,79.92,0.4567,78.46
800,0.4282,80.73,0.447,79.24
820,0.4292,80.71,0.4488,78.83
840,0.4284,80.75,0.4484,78.98
860,0.4257,81.02,0.4464,79.18
880,0.4283,80.55,0.4482,79.07
900,0.4371,79.74,0.4569,78.52
920,0.4265,80.69,0.4466,79.14
940,0.4224,80.96,0.4425,79.54
960,0.4255,80.77,0.4465,79.15
980,0.424,80.88,0.4446,79.26
1000,0.4232,80.95,0.4438,79.06
1020,0.429,80.38,0.4497,78.85
1040,0.4294,80.27,0.451,78.58
1060,0.4235,80.83,0.4455,79.16
1080,0.4199,81.06,0.4419,79.49
1100,0.4213,80.9,0.4451,79.32
1120,0.4287,80.32,0.4527,78.73
1140,0.4278,80.4,0.4511,78.8
1160,0.4242,80.72,0.4466,79.11
1180,0.4184,81.18,0.4402,79.54
1200,0.4268,80.44,0.4497,78.7
1220,0.4164,81.22,0.4407,79.7
1240,0.4173,81.23,0.4416,79.45
1260,0.4133,81.51,0.4371,79.97
1280,0.4173,81.06,0.441,79.35
1300,0.4216,80.66,0.4465,78.92
1320,0.4188,80.96,0.4439,79.2
1340,0.4133,81.4,0.4386,79.42
1360,0.4118,81.52,0.4372,79.63
1380,0.4115,81.55,0.4374,79.67
1400,0.4205,80.78,0.4466,79.1
1420,0.4139,81.32,0.4396,79.7
1440,0.4112,81.5,0.4364,79.79
1460,0.4094,81.66,0.4353,79.85
1480,0.4086,81.69,0.4353,79.84
1500,0.4221,80.73,0.4478,78.72
1520,0.4119,81.35,0.4393,79.58
1540,0.408,81.66,0.4348,79.9
1560,0.4081,81.77,0.4341,80.0
1580,0.4072,81.74,0.4342,79.94
1600,0.4124,81.41,0.44,79.76
1620,0.4111,81.56,0.4383,79.88
1640,0.4061,81.81,0.4333,79.97
1660,0.4078,81.63,0.4358,79.97
1680,0.4058,81.87,0.4335,80.05
1700,0.4104,81.5,0.4391,79.74
1720,0.4065,81.63,0.4349,79.78
1740,0.4048,81.84,0.4343,79.88
1760,0.4082,81.62,0.439,79.71
1780,0.4064,81.63,0.4362,79.79
1800,0.4055,81.82,0.4349,79.81
1820,0.4069,81.77,0.4366,79.83
1840,0.4041,81.93,0.4331,80.2
1860,0.4062,81.64,0.4351,79.89
1880,0.4028,82.16,0.4304,80.41
1900,0.4038,82.02,0.4321,80.33
1920,0.4079,81.75,0.4376,79.75
1940,0.4076,81.74,0.4372,79.77
1960,0.4034,81.98,0.4327,80.14
1980,0.4183,80.76,0.4471,78.86
