Step,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Alpha
0,9.7181,40.66,7.8933,41.73,-5.0
5,9.1991,48.51,7.3867,49.28,-5.0
10,8.9147,55.5,7.116,56.29,-5.0
15,8.7906,61.3,6.9755,61.77,-5.0
20,8.7245,65.5,6.9622,65.92,-5.0
25,8.6606,68.28,6.9368,68.76,-5.0
30,8.6273,70.15,6.8756,70.83,-5.0
35,8.5917,71.56,6.8395,72.08,-5.0
40,8.519,72.51,6.7784,73.01,-5.0
45,8.3834,73.08,6.6748,73.67,-5.0
50,8.2459,73.62,6.5935,74.08,-5.0
55,8.0423,73.97,6.445,74.37,-5.0
60,7.7825,74.2,6.2967,74.63,-5.0
65,7.4922,74.32,6.1004,74.79,-5.0
70,7.2149,74.4,5.8576,74.87,-5.0
75,6.9098,74.49,5.6344,74.95,-5.0
80,6.63,74.53,5.4064,75.08,-5.0
85,6.3497,74.66,5.21,75.26,-5.0
90,6.0708,74.84,5.0187,75.41,-5.0
95,5.8342,75.14,4.84,75.68,-5.0
100,5.5481,75.34,4.653,75.79,-5.0
105,5.1831,75.42,4.4182,75.89,-5.0
110,4.8267,75.45,4.187,76.01,-5.0
115,4.5235,75.66,3.9467,76.12,-5.0
120,4.2805,76.03,3.783,76.43,-5.0
125,4.0614,76.45,3.6593,76.8,-5.0
130,3.8606,76.84,3.5455,77.05,-5.0
135,3.6756,77.19,3.4014,77.34,-5.0
140,3.3929,77.46,3.2485,77.55,-5.0
145,3.1453,77.68,3.1059,77.81,-5.0
150,2.9773,78.02,2.992,78.07,-5.0
155,2.8298,78.4,2.9298,78.37,-5.0
160,2.7196,78.81,2.8504,78.69,-5.0
165,2.5888,79.29,2.8053,79.06,-5.0
170,2.4899,79.68,2.7438,79.36,-5.0
175,2.3637,80.0,2.6572,79.76,-5.0
180,2.198,80.27,2.5571,80.01,-5.0
185,2.1079,80.56,2.4909,80.24,-5.0
190,2.0221,80.87,2.4558,80.5,-5.0
195,1.9266,81.21,2.3907,80.77,-5.0
200,1.8618,81.65,2.3629,81.07,-5.0
205,1.8146,82.07,2.3187,81.36,-5.0
210,1.7534,82.39,2.2947,81.55,-5.0
215,1.6922,82.67,2.2551,81.71,-5.0
220,1.6457,82.93,2.2477,81.84,-5.0
225,1.6,83.27,2.2249,82.07,-5.0
230,1.5762,83.53,2.2152,82.24,-5.0
235,1.5432,83.85,2.208,82.49,-5.0
240,1.5155,84.11,2.2078,82.75,-5.0
245,1.4528,84.38,2.174,82.9,-5.0
250,1.412,84.66,2.1524,83.06,-5.0
255,1.3766,84.9,2.1173,83.17,-5.0
260,1.3538,85.06,2.0597,83.3,-5.0
265,1.2979,85.22,2.0381,83.42,-5.0
270,1.2833,85.43,2.0327,83.56,-5.0
275,1.2705,85.59,2.0183,83.68,-5.0
280,1.2559,85.75,2.0137,83.8,-5.0
285,1.2444,85.92,1.9962,83.92,-5.0
290,1.2273,86.08,1.9716,84.0,-5.0
295,1.2064,86.2,1.9558,84.12,-5.0
300,1.1859,86.26,1.942,84.2,-5.0
305,1.1704,86.43,1.9416,84.28,-5.0
310,1.1603,86.62,1.9472,84.42,-5.0
315,1.153,86.79,1.949,84.55,-5.0
320,1.1383,86.88,1.9437,84.59,-5.0
325,1.1293,87.04,1.9434,84.64,-5.0
330,1.1102,87.19,1.9328,84.7,-5.0
335,1.0939,87.35,1.9092,84.75,-5.0
340,1.081,87.46,1.8893,84.84,-5.0
345,1.0744,87.54,1.8997,84.94,-5.0
350,1.0734,87.67,1.9249,85.02,-5.0
355,1.0751,87.78,1.9351,85.09,-5.0
360,1.0773,87.88,1.9454,85.17,-5.0
365,1.072,87.97,1.9533,85.2,-5.0
370,1.0655,88.06,1.9408,85.27,-5.0
375,1.054,88.15,1.9344,85.32,-5.0
380,1.0478,88.26,1.93,85.4,-5.0
385,1.0365,88.38,1.9248,85.5,-5.0
390,1.0271,88.47,1.911,85.58,-5.0
395,1.0126,88.54,1.886,85.58,-5.0
400,0.9965,88.64,1.8736,85.61,-5.0
405,0.9799,88.77,1.8555,85.65,-5.0
410,0.9662,88.88,1.8364,85.71,-5.0
415,0.9577,88.96,1.8273,85.77,-5.0
420,0.9492,89.04,1.8291,85.84,-5.0
425,0.9437,89.14,1.8141,85.86,-5.0
430,0.9307,89.15,1.7745,85.92,-5.0
435,0.9161,89.24,1.7409,85.93,-5.0
440,0.8969,89.29,1.7272,85.93,-5.0
445,0.893,89.35,1.7227,85.99,-5.0
450,0.8883,89.44,1.7302,86.06,-5.0
455,0.886,89.49,1.7213,86.13,-5.0
460,0.8821,89.55,1.722,86.21,-5.0
465,0.8852,89.65,1.7298,86.29,-5.0
470,0.8803,89.73,1.7378,86.33,-5.0
475,0.878,89.8,1.7417,86.38,-5.0
480,0.8754,89.83,1.7476,86.42,-5.0
485,0.8736,89.9,1.7658,86.46,-5.0
490,0.8699,89.94,1.7672,86.49,-5.0
495,0.8636,89.99,1.7532,86.5,-5.0
500,0.86,90.05,1.7528,86.52,-5.0
505,0.8564,90.11,1.7346,86.56,-5.0
510,0.8472,90.16,1.7294,86.6,-5.0
515,0.8405,90.2,1.7266,86.65,-5.0
520,0.8312,90.29,1.719,86.65,-5.0
525,0.8222,90.32,1.7134,86.64,-5.0
530,0.8132,90.38,1.7051,86.65,-5.0
535,0.8099,90.43,1.6956,86.68,-5.0
540,0.8115,90.51,1.7071,86.7,-5.0
545,0.8084,90.55,1.7147,86.73,-5.0
550,0.8241,90.63,1.7278,86.77,-5.0
555,0.8226,90.68,1.7551,86.78,-5.0
560,0.8228,90.7,1.7536,86.75,-5.0
565,0.8163,90.73,1.7444,86.76,-5.0
570,0.8016,90.77,1.7235,86.84,-5.0
575,0.7927,90.86,1.7191,86.86,-5.0
580,0.7794,90.91,1.7125,86.92,-5.0
585,0.7763,90.95,1.6905,86.96,-5.0
590,0.773,90.99,1.6951,86.99,-5.0
595,0.7677,90.99,1.6976,87.02,-5.0
600,0.7646,91.02,1.7067,87.04,-5.0
605,0.7614,91.09,1.6856,87.07,-5.0
610,0.7558,91.15,1.6738,87.13,-5.0
615,0.756,91.14,1.6848,87.19,-5.0
620,0.7595,91.19,1.6952,87.24,-5.0
625,0.7569,91.26,1.6894,87.27,-5.0
630,0.7514,91.29,1.6819,87.29,-5.0
635,0.7433,91.35,1.6646,87.33,-5.0
640,0.7407,91.41,1.6668,87.37,-5.0
645,0.7377,91.44,1.6694,87.4,-5.0
650,0.7348,91.5,1.6663,87.45,-5.0
655,0.7239,91.55,1.6379,87.5,-5.0
660,0.7156,91.64,1.6153,87.56,-5.0
665,0.6972,91.65,1.5773,87.61,-5.0
670,0.6868,91.7,1.5659,87.62,-5.0
675,0.6865,91.75,1.5751,87.63,-5.0
680,0.6786,91.78,1.5681,87.67,-5.0
685,0.6708,91.79,1.5543,87.7,-5.0
690,0.6578,91.83,1.5364,87.73,-5.0
695,0.6555,91.81,1.5178,87.73,-5.0
700,0.6529,91.85,1.519,87.76,-5.0
705,0.6528,91.92,1.5247,87.78,-5.0
710,0.6483,91.92,1.5193,87.81,-5.0
715,0.646,91.96,1.5167,87.82,-5.0
720,0.6439,91.98,1.5045,87.87,-5.0
725,0.6337,92.0,1.5121,87.88,-5.0
730,0.6321,92.08,1.4962,87.86,-5.0
735,0.6299,92.07,1.4959,87.91,-5.0
740,0.6271,92.14,1.489,87.95,-5.0
745,0.6313,92.23,1.5012,87.99,-5.0
750,0.6336,92.26,1.5082,88.06,-5.0
755,0.634,92.29,1.5175,88.08,-5.0
760,0.6374,92.33,1.5288,88.09,-5.0
765,0.6359,92.35,1.5321,88.1,-5.0
770,0.6289,92.39,1.522,88.11,-5.0
775,0.6219,92.4,1.5172,88.11,-5.0
780,0.6172,92.42,1.4961,88.15,-5.0
785,0.6127,92.44,1.4821,88.16,-5.0
790,0.6059,92.43,1.4673,88.18,-5.0
795,0.5995,92.42,1.4497,88.16,-5.0
800,0.5956,92.42,1.4443,88.15,-5.0
